judge,candidate_chosen,candidate_not_chosen,time_taken
129,15,18,2921
129,12,5,1492
128,1,4,2286
129,22,5,1461
128,2,3,2545
128,17,23,3075
129,18,11,2508
128,25,24,4721
128,3,5,2247
129,21,20,7520
128,12,25,3882
128,15,18,1899
128,2,25,1912
129,17,23,8158
128,10,12,3041
129,19,24,4693
128,13,21,2488
128,6,19,3219
129,5,25,5142
129,8,19,2195
128,6,12,4912
129,15,11,2505
128,13,4,2573
129,3,5,2613
128,22,3,2067
129,22,4,1734
128,3,4,2646
129,9,17,2923
129,7,3,3044
128,2,19,4985
129,22,6,2803
128,10,25,3109
129,10,5,2167
128,14,3,3055
129,10,25,2290
128,3,21,2466
129,25,11,3102
128,23,21,2675
129,1,5,2795
128,10,4,2942
129,22,15,2725
128,7,6,2479
129,14,5,3337
128,25,13,2531
129,15,20,2944
129,22,1,2585
128,10,9,4627
129,2,17,3429
128,22,6,3097
129,10,18,3573
128,15,12,4045
129,3,19,2737
129,22,3,2158
128,3,13,3524
128,3,12,3035
129,10,3,3843
128,17,4,3556
129,24,4,2800
128,19,25,2530
129,1,24,3012
128,22,15,3021
128,1,2,2287
129,15,23,3083
129,17,19,1631
128,18,21,4400
129,1,21,4116
128,16,21,3217
129,2,6,4150
128,12,18,3093
145,20,5,7164
128,14,5,2543
129,15,13,3120
128,2,22,1975
129,12,23,2370
145,18,3,4899
145,7,15,2730
129,16,21,3895
128,2,17,3114
129,18,6,2755
128,1,24,3042
129,18,21,3332
128,14,2,3070
145,17,24,8807
129,7,15,3163
128,2,16,2853
129,3,4,1971
128,6,5,1857
145,8,4,5223
128,7,9,2495
145,20,4,2819
129,1,15,1977
128,9,21,2392
129,14,9,1793
128,17,16,2452
129,6,11,3004
128,15,19,1938
145,6,11,6725
129,17,4,2835
145,22,17,3819
129,13,21,2699
129,16,24,3313
145,19,10,6386
129,25,4,4077
145,23,13,3930
129,22,2,3071
145,9,20,2059
129,7,20,2787
145,1,15,2299
145,10,6,4928
145,7,9,1446
145,24,11,4496
145,14,9,2587
145,16,2,4364
145,7,19,2702
145,9,21,1860
145,15,6,2039
145,17,13,2639
145,14,13,1391
145,7,17,1925
145,12,18,2881
145,7,10,2350
145,6,2,2946
145,8,5,2740
145,18,2,2627
145,15,19,2857
145,14,23,2080
145,14,1,2685
145,25,18,4015
145,6,4,2536
145,24,23,3099
145,16,21,4398
145,12,2,1995
145,17,18,2786
145,1,10,2352
145,19,4,2236
145,23,11,2431
145,14,25,2548
145,3,8,2805
145,8,2,2022
145,21,2,1532
145,9,18,2992
145,14,24,2812
145,7,24,2141
145,17,8,2277
145,15,16,2201
145,16,19,2493
145,10,20,2064
145,25,23,2267
145,15,13,1436
145,14,20,2607
145,12,24,2554
145,22,24,1708
145,20,19,3254
145,3,16,1674
145,12,23,2482
145,22,2,1456
145,1,16,1512
145,19,11,1655
145,24,18,3386
145,9,8,2599
145,25,6,1277
145,18,5,2362
145,10,16,2351
145,17,12,1408
145,7,4,2628
145,10,21,2365
145,22,9,1561
145,24,5,1497
145,12,20,3733
145,12,19,1988
145,7,8,1982
145,10,2,1651
145,14,16,1673
145,25,4,1448
145,23,19,2526
145,24,2,1992
145,12,8,1904
145,6,18,1657
145,13,19,2932
145,23,18,2188
145,25,15,1578
145,7,20,2863
145,9,23,2584
145,5,6,1811
145,24,13,3105
145,7,11,5559
145,1,21,1588
145,12,21,1591
145,9,19,1972
145,17,16,1381
145,16,23,3442
150,9,4,7461
150,3,23,7340
150,6,16,11817
150,10,23,6145
150,1,13,2442
150,3,11,4648
150,15,4,2843
158,15,4,4446
150,7,23,3164
150,22,12,2620
158,5,4,5388
150,1,11,2668
158,23,5,3925
150,23,5,4553
158,22,12,2908
158,7,23,3242
150,25,21,8858
158,25,21,6176
150,5,4,4060
158,1,11,2071
150,25,12,4702
150,13,24,7743
158,2,24,14751
