judge,candidate_chosen,candidate_not_chosen,time_taken
463,9,15,5.266
463,6,14,13.562
537,7,1,1.86
537,10,3,41.678
537,7,15,7.301
537,1,12,1.738
537,1,15,11.127
551,12,13,2.833
551,6,12,31.11
551,9,11,1.758
551,3,1,18.054
551,8,15,28.396
551,10,7,29.39
551,5,12,23.607
551,15,1,4.84
551,15,3,25.18
551,8,14,30.175
551,4,15,24.661
551,15,7,1.867
551,9,13,8.938
551,6,3,15.917
551,9,3,5.226
551,4,13,6.215
551,10,1,8.215
551,14,12,12.533
551,6,4,22.405
551,2,13,11.709
551,5,11,57.485
551,2,15,7.249
566,11,8,2.775
566,4,1,2.894
566,15,12,3.378
566,14,9,1.015
566,7,8,43.196
566,5,2,2.477
566,14,4,15.665
566,6,9,16.995
566,10,14,26.412
566,3,13,15.737
566,7,4,5.849
566,7,6,13.589
566,1,12,31.272
566,11,15,11.777
566,7,5,8.584
566,7,3,6.802
566,14,2,45.509
566,8,4,12.124
566,7,2,4.567
566,6,12,30.106
